0	44,36,20	44,6,50
1	69,31,0	53,7,40
2	31,41,28	24,3,73
3	32,26,42	31,6,63
4	82,18,0	67,8,25
5	25,46,29	19,4,77
6	48,41,11	49,7,44
7	51,31,18	41,10,49
8	8,54,38	21,4,75
9	58,37,5	47,7,46
10	26,45,29	35,2,63
11	40,37,23	32,7,61
12	19,52,29	24,3,73
13	67,29,4	44,12,44
14	49,35,16	47,4,49
15	41,37,22	30,11,59
16	38,34,28	34,3,63
17	4,36,60	15,1,84
18	54,33,13	41,8,51
19	66,34,0	55,9,36
20	67,33,0	47,19,34
21	31,31,38	49,3,48
22	35,43,22	34,5,61
23	17,47,36	25,1,74
24	65,31,4	49,9,42
25	56,31,13	48,11,41
26	23,55,22	35,2,63
27	44,35,21	43,4,53
28	45,42,13	37,9,54
29	39,46,15	43,8,49
30	74,25,1	51,7,42
31	55,35,10	41,10,49
32	26,39,35	28,8,64
33	44,37,19	39,14,47
34	44,38,18	43,10,47
35	54,30,16	47,4,49
36	64,33,3	46,10,44
37	30,43,27	27,6,67
38	23,46,31	18,3,79
39	8,41,51	16,0,84
40	40,39,21	36,10,54
41	20,42,38	24,8,68
42	32,48,20	34,8,58
43	15,44,41	22,3,75
44	44,35,21	33,9,58
45	57,38,5	55,9,36
46	11,44,45	17,1,82
47	6,50,44	22,3,75
48	67,33,0	44,12,44
49	21,40,39	32,3,65
50	11,48,41	19,2,79
51	11,42,47	16,1,83
52	17,44,39	19,2,79
53	18,49,33	28,2,70
54	71,29,0	59,11,30
55	56,26,18	49,7,44
56	50,30,20	39,6,55
57	71,29,0	46,12,42
58	64,28,8	57,6,37
59	7,45,48	23,1,76
60	42,39,19	41,9,50
61	61,32,7	52,5,43
62	54,37,9	45,10,45
63	9,47,44	21,2,77
64	50,34,16	51,7,42
65	21,44,35	30,4,66
66	70,30,0	59,12,29
67	19,42,39	31,3,66
68	71,29,0	57,11,32
69	20,41,39	30,5,65
70	59,31,10	36,7,57
71	55,33,12	44,8,48
72	64,33,3	55,6,39
73	19,38,43	25,2,73
74	36,37,27	39,8,53
75	40,42,18	36,6,58
76	26,42,32	34,4,62
77	19,41,40	34,5,61
78	58,29,13	53,9,38
79	60,39,1	51,14,35
